Date,ID,Username,Tweets
11/27/2021 11:53,1.46456E+18,Nusaibah,"b'RT @muslimahnewscom: Namun, bagi yang kontra, seperti Lincolin Arsyad (Diktilitbang) Pimpinan Pusat Muhammadiyah berpendapat bahwa Permen P\xe2\x80\xa6'"
11/27/2021 11:53,1.46456E+18,erin azzahroh,"b'RT @muslimahnewscom: Alhasil bagi kalangan yang mendukung Permen PPKS, menganggap bahwa Permen ini sebagai terobosan karena ""berperspektif\xe2\x80\xa6'"
11/27/2021 11:52,1.46456E+18,erin azzahroh,"b'RT @muslimahnewscom: Mendikbudristek Nadiem Makarim, mengatakan Permen PPKS ini memang \xe2\x80\x9chanya\xe2\x80\x9d mengatur terkait kekerasan seksual, tetapi t\xe2\x80\xa6'"
11/27/2021 11:52,1.46456E+18,Nusaibah,"b'RT @muslimahnewscom: Alhasil bagi kalangan yang mendukung Permen PPKS, menganggap bahwa Permen ini sebagai terobosan karena ""berperspektif\xe2\x80\xa6'"
11/27/2021 11:52,1.46456E+18,erin azzahroh,b'RT @muslimahnewscom: Kritikan tersebut terkait dengan Permendikbudristek Nomor 30 Tahun 2021 tentang Pencegahan dan Penanganan Kekerasan Se\xe2\x80\xa6'
11/27/2021 11:52,1.46456E+18,Nusaibah,"b'RT @muslimahnewscom: Mendikbudristek Nadiem Makarim, mengatakan Permen PPKS ini memang \xe2\x80\x9chanya\xe2\x80\x9d mengatur terkait kekerasan seksual, tetapi t\xe2\x80\xa6'"
11/27/2021 11:52,1.46456E+18,Nusaibah,b'RT @muslimahnewscom: Kritikan tersebut terkait dengan Permendikbudristek Nomor 30 Tahun 2021 tentang Pencegahan dan Penanganan Kekerasan Se\xe2\x80\xa6'
11/27/2021 11:51,1.46456E+18,Brainbox,"b'RT @GunRomli: Selain penjahat kelamin, penolak Permendikbudristek PPKS ini juga pendukung Khilafah!\n\nGema Pembebasan itu sayap Hizbut Tahri\xe2\x80\xa6'"
11/27/2021 11:40,1.46456E+18,🥶🍦BING CHILLING 🥶🍦,b'RT @glassyfaggy: Para kaum liberal anti komunis sebaiknya tidak usah heran mengapa kaum konservatif melakukan pemlintiran Permendikbudriste\xe2\x80\xa6'
11/27/2021 11:37,1.46456E+18,Ngelll,b'RT @HopeHelpsNet: Permendikbud-Ristek PPKS menjelaskan langkah awal penciptaan ruang aman di lingkungan kampus. Gimana sih caranya nyiptain\xe2\x80\xa6'
11/27/2021 11:37,1.46456E+18,Hendriks.rtn 🇲🇨,b'RT @SantorinisSun: Gila udah berani terang2an gini!\nGubsu Edi ama Walkot Bobby harus berani tegas!\nAparat juga boleh bertindak nih.\nMasih m\xe2\x80\xa6'
11/27/2021 11:35,1.46456E+18,panggil saja honey // auto fb,b'RT @HopeHelpsNet: Hadirnya Permendikbud-Ristek PPKS No. 30/2021 menunjukkan langkah progresif dari @Kemdikbud_RI @nadiemmakarim dalam hal p\xe2\x80\xa6'
11/27/2021 11:34,1.46456E+18,HopeHelps IPB,b'RT @HopeHelpsNet: Hadirnya Permendikbud-Ristek PPKS No. 30/2021 menunjukkan langkah progresif dari @Kemdikbud_RI @nadiemmakarim dalam hal p\xe2\x80\xa6'
11/27/2021 11:33,1.46456E+18,Yen is vaxxed,b'RT @HopeHelpsNet: Permendikbud-Ristek PPKS menjelaskan langkah awal penciptaan ruang aman di lingkungan kampus. Gimana sih caranya nyiptain\xe2\x80\xa6'
11/27/2021 11:32,1.46456E+18,𝑰𝑷𝑩 𝑩𝒆𝒓𝒄𝒂𝒏𝒅𝒂,b'RT @HopeHelpsNet: Hadirnya Permendikbud-Ristek PPKS No. 30/2021 menunjukkan langkah progresif dari @Kemdikbud_RI @nadiemmakarim dalam hal p\xe2\x80\xa6'
11/27/2021 11:31,1.46456E+18,wed,b'RT @HopeHelpsNet: Permendikbud-Ristek PPKS menjelaskan langkah awal penciptaan ruang aman di lingkungan kampus. Gimana sih caranya nyiptain\xe2\x80\xa6'
11/27/2021 11:29,1.46456E+18,anni (อันนิ),b'Yuk pelajarin Permendikbudristek PPKS! https://t.co/BVXxxJaBop'
11/27/2021 11:23,1.46456E+18,Nikika Zunah,"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\n\nApa saja yang disampaikan dalam aksi kema\xe2\x80\xa6 https://t.co/QebJ7AFdgz'"
11/27/2021 10:43,1.46455E+18,@Qisthi Yetty,b'@muslimahnewscom Permendikbud no 30 ttg PPKS membuktikan rezim sekuler liberal!'
11/27/2021 10:38,1.46454E+18,picevalucky☘️,"b'RT @arusbaik_id: Yes! Permendikbud Ristek PPKS, Panen Dukungan Dari Semua Kalangan \n#ArusBaik \n#kekerasanseksual \n#pemerintah \nhttps://t.co\xe2\x80\xa6'"
11/27/2021 10:36,1.46454E+18,Puspitasari,"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\n\nApa saja yang disampaikan dalam aksi kema\xe2\x80\xa6 https://t.co/YHV2Gwx8T0'"
11/27/2021 10:32,1.46454E+18,Nunung,"b'#Fokus \xe2\x80\x94 Sungguh teramat sayang, suara mahasiswa terbelah dalam menyikapi kehadiran Permen PPKS. Berbeda dengan sua\xe2\x80\xa6 https://t.co/bOU6XRhN0r'"
11/27/2021 10:28,1.46454E+18,Yuli,"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\n\nApa saja yang disampaikan dalam aksi kema\xe2\x80\xa6 https://t.co/vOCShU7511'"
11/27/2021 10:25,1.46454E+18,Yunita Yana🍓,"b'RT @arusbaik_id: Yes! Permendikbud Ristek PPKS, Panen Dukungan Dari Semua Kalangan \n#ArusBaik \n#kekerasanseksual \n#pemerintah \nhttps://t.co\xe2\x80\xa6'"
11/27/2021 10:24,1.46454E+18,Nunung,"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\n\nSebagai bentuk reaksi atas disahkannya Pe\xe2\x80\xa6 https://t.co/JVVQU2SSVS'"
11/27/2021 10:16,1.46454E+18,Ummu Rasyid,b'RT @muslimahnewscom: Islam juga menyiapkan sejumlah sanksi tegas dan membuat jera bagi pelanggar aturan-aturan yang sudah ditetapkan dalam\xe2\x80\xa6'
11/27/2021 10:16,1.46454E+18,Ummu Rasyid,b'RT @muslimahnewscom: Dari sini nampak jelas bahwa dalam Permen PPKS ini masih menyisakan PR bagi penanganan seks bebas di lingkungan Pergur\xe2\x80\xa6'
11/27/2021 10:16,1.46454E+18,Ummu Rasyid,"b'RT @muslimahnewscom: Namun, bagi yang kontra, seperti Lincolin Arsyad (Diktilitbang) Pimpinan Pusat Muhammadiyah berpendapat bahwa Permen P\xe2\x80\xa6'"
11/27/2021 10:16,1.46454E+18,Ummu Rasyid,"b'RT @muslimahnewscom: Alhasil bagi kalangan yang mendukung Permen PPKS, menganggap bahwa Permen ini sebagai terobosan karena ""berperspektif\xe2\x80\xa6'"
11/27/2021 10:16,1.46454E+18,Ummu Rasyid,"b'RT @muslimahnewscom: Mendikbudristek Nadiem Makarim, mengatakan Permen PPKS ini memang \xe2\x80\x9chanya\xe2\x80\x9d mengatur terkait kekerasan seksual, tetapi t\xe2\x80\xa6'"
11/27/2021 10:15,1.46454E+18,Ummu Rasyid,b'RT @muslimahnewscom: Kritikan tersebut terkait dengan Permendikbudristek Nomor 30 Tahun 2021 tentang Pencegahan dan Penanganan Kekerasan Se\xe2\x80\xa6'
11/27/2021 10:12,1.46454E+18,Mbud,"b'RT @GunRomli: Selain penjahat kelamin, penolak Permendikbudristek PPKS ini juga pendukung Khilafah!\n\nGema Pembebasan itu sayap Hizbut Tahri\xe2\x80\xa6'"
11/27/2021 10:05,1.46454E+18,Rexe_Ainx,b'RT @SantorinisSun: Gila udah berani terang2an gini!\nGubsu Edi ama Walkot Bobby harus berani tegas!\nAparat juga boleh bertindak nih.\nMasih m\xe2\x80\xa6'
