,Date,ID,Username,Tweets,Text Tweet
38,11/28/2021 3:00,1.46479e+18,Umi Septa,"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\n\nhttps://t.co/OgEYJX0cRG https://t.co/YcPmj64r1C'","['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'zina', 'syariah', 'serba', 'serbi', 'mmc', 'n', 'n']"
39,11/28/2021 2:45,1.46479e+18,SachielH_Pang,b'RT @SantorinisSun: Gila udah berani terang2an gini!\nGubsu Edi ama Walkot Bobby harus berani tegas!\nAparat juga boleh bertindak nih.\nMasih m\xe2\x80\xa6',"['gila', 'berani', 'terang2an', 'ngubsu', 'edi', 'walkot', 'bobby', 'berani', 'naparat', 'tindak', 'nmasih', 'm', 'xe2', 'x80', 'xa6']"
40,11/28/2021 2:45,1.46479e+18,SachielH_Pang,"b'RT @GunRomli: Selain penjahat kelamin, penolak Permendikbudristek PPKS ini juga pendukung Khilafah!\n\nGema Pembebasan itu sayap Hizbut Tahri\xe2\x80\xa6'","['jahat', 'kelamin', 'tolak', 'permendikbudristek', 'ppks', 'dukung', 'khilafah', 'n', 'ngema', 'bebas', 'sayap', 'hizbut', 'tahri', 'xe2', 'x80', 'xa6']"
41,11/28/2021 2:28,1.46478e+18,🇮🇩Charlotte__LOVE🇮🇩,"b'RT @GunRomli: Selain penjahat kelamin, penolak Permendikbudristek PPKS ini juga pendukung Khilafah!\n\nGema Pembebasan itu sayap Hizbut Tahri\xe2\x80\xa6'","['jahat', 'kelamin', 'tolak', 'permendikbudristek', 'ppks', 'dukung', 'khilafah', 'n', 'ngema', 'bebas', 'sayap', 'hizbut', 'tahri', 'xe2', 'x80', 'xa6']"
42,11/28/2021 2:28,1.46478e+18,🇮🇩Charlotte__LOVE🇮🇩,b'RT @SantorinisSun: Gila udah berani terang2an gini!\nGubsu Edi ama Walkot Bobby harus berani tegas!\nAparat juga boleh bertindak nih.\nMasih m\xe2\x80\xa6',"['gila', 'berani', 'terang2an', 'ngubsu', 'edi', 'walkot', 'bobby', 'berani', 'naparat', 'tindak', 'nmasih', 'm', 'xe2', 'x80', 'xa6']"
43,11/27/2021 22:20,1.46472e+18,Jihan satuakun,b'RT @muslimahnewscom: Islam juga menyiapkan sejumlah sanksi tegas dan membuat jera bagi pelanggar aturan-aturan yang sudah ditetapkan dalam\xe2\x80\xa6',"['islam', 'sanksi', 'jera', 'langgar', 'atur', 'atur', 'tetap', 'xe2', 'x80', 'xa6']"
44,11/27/2021 21:11,1.4647e+18,Riyanti Waznah,"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\n\n Apa saja yang disampaikan dalam aksi kem\xe2\x80\xa6 https://t.co/RtAHY1CpjK'","['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'zina', 'syariah', 'serba', 'serbi', 'mmc', 'n', 'n', 'aksi', 'kem', 'xe2', 'x80', 'xa6']"
45,11/27/2021 21:04,1.4647e+18,Erwind Budiman,b'RT @NadinHang: Menurut Mendikbud Ristek Nadiem Makarim\nsejumlah pihak masih salah mengartikan isi dari peraturan terkait pencegahan dan pen\xe2\x80\xa6',"['mendikbud', 'ristek', 'nadiem', 'makarim', 'nsejumlah', 'arti', 'isi', 'atur', 'cegah', 'pen', 'xe2', 'x80', 'xa6']"
46,11/27/2021 17:21,1.46465e+18,LIFE is TEST,"b'RT @GunRomli: Selain penjahat kelamin, penolak Permendikbudristek PPKS ini juga pendukung Khilafah!\n\nGema Pembebasan itu sayap Hizbut Tahri\xe2\x80\xa6'","['jahat', 'kelamin', 'tolak', 'permendikbudristek', 'ppks', 'dukung', 'khilafah', 'n', 'ngema', 'bebas', 'sayap', 'hizbut', 'tahri', 'xe2', 'x80', 'xa6']"
47,11/27/2021 16:03,1.46463e+18,Relaksasi Terupdate,"b'RT @detikcom: Demonstrasi mahasiswa di Medan terkait Permendikbud PPKS menjadi sorotan. Pasalnya dalam unjuk rasa itu, mahasiswa menyebut P\xe2\x80\xa6'","['demonstrasi', 'mahasiswa', 'medan', 'permendikbud', 'ppks', 'sorot', 'pasal', 'unjuk', 'mahasiswa', 'sebut', 'p', 'xe2', 'x80', 'xa6']"
48,11/27/2021 15:49,1.46462e+18,🄰🄱🄳🅄🄻,b'RT @SantorinisSun: Gila udah berani terang2an gini!\nGubsu Edi ama Walkot Bobby harus berani tegas!\nAparat juga boleh bertindak nih.\nMasih m\xe2\x80\xa6',"['gila', 'berani', 'terang2an', 'ngubsu', 'edi', 'walkot', 'bobby', 'berani', 'naparat', 'tindak', 'nmasih', 'm', 'xe2', 'x80', 'xa6']"
49,11/27/2021 15:26,1.46462e+18,Sakinah Mustanir,b'RT @muslimahnewscom: Dari sini nampak jelas bahwa dalam Permen PPKS ini masih menyisakan PR bagi penanganan seks bebas di lingkungan Pergur\xe2\x80\xa6',"['nampak', 'permen', 'ppks', 'sisa', 'pr', 'tangan', 'seks', 'bebas', 'lingkung', 'pergur', 'xe2', 'x80', 'xa6']"
50,11/27/2021 15:22,1.46462e+18,MuthiahHaniif_Reborn,b'Aneh... apa yg salah dg khilafah? Jika memang itu memiliki seperangkat aturan komprehensif untuk menjaga kemuliaan\xe2\x80\xa6 https://t.co/vY2GGhFa2h',"['aneh', 'dg', 'khilafah', 'perangkat', 'atur', 'komprehensif', 'jaga', 'mulia', 'xe2', 'x80', 'xa6']"
51,11/27/2021 15:04,1.46461e+18,Mel,b'E a menina no tiktok q tem 2 ppks ?! \xf0\x9f\x90\xb8\xf0\x9f\x90\xb8',"['e', 'menina', 'tiktok', 'q', 'tem', '2', 'ppks', 'xf0', 'x9f', 'x90', 'xb8', 'xf0', 'x9f', 'x90', 'xb8']"
52,11/27/2021 14:54,1.46461e+18,Wakhidatul Awwala R.,"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\n\n.\n\nhttps://t.co/LRcJqK4yTD https://t.co/UsFft22hGo'","['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'zina', 'syariah', 'serba', 'serbi', 'mmc', 'n', 'n', 'n', 'n']"
53,11/27/2021 14:31,1.4646e+18,Ina,b'RT @muslimahnewscom: Islam juga menyiapkan sejumlah sanksi tegas dan membuat jera bagi pelanggar aturan-aturan yang sudah ditetapkan dalam\xe2\x80\xa6',"['islam', 'sanksi', 'jera', 'langgar', 'atur', 'atur', 'tetap', 'xe2', 'x80', 'xa6']"
54,11/27/2021 14:09,1.4646e+18,Nurani Racing Team,b'RT @SantorinisSun: Gila udah berani terang2an gini!\nGubsu Edi ama Walkot Bobby harus berani tegas!\nAparat juga boleh bertindak nih.\nMasih m\xe2\x80\xa6',"['gila', 'berani', 'terang2an', 'ngubsu', 'edi', 'walkot', 'bobby', 'berani', 'naparat', 'tindak', 'nmasih', 'm', 'xe2', 'x80', 'xa6']"
55,11/27/2021 13:57,1.46459e+18,Imah81,b'RT @muslimahnewscom: Islam juga menyiapkan sejumlah sanksi tegas dan membuat jera bagi pelanggar aturan-aturan yang sudah ditetapkan dalam\xe2\x80\xa6',"['islam', 'sanksi', 'jera', 'langgar', 'atur', 'atur', 'tetap', 'xe2', 'x80', 'xa6']"
56,11/27/2021 13:57,1.46459e+18,Imah81,b'RT @muslimahnewscom: Dari sini nampak jelas bahwa dalam Permen PPKS ini masih menyisakan PR bagi penanganan seks bebas di lingkungan Pergur\xe2\x80\xa6',"['nampak', 'permen', 'ppks', 'sisa', 'pr', 'tangan', 'seks', 'bebas', 'lingkung', 'pergur', 'xe2', 'x80', 'xa6']"
